"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC-1: Logs in with each predefined SauceDemo user and verifies the
    expected outcome - a successful redirect to the Products page for
    normal users, or a lockout error for locked_out_user.","943","test_login_with_various_predefined_users[firefox-visual_user]","tests","2026-08-04","passed","2026-08-04","","test_login","",""
"TC-1: Logs in with each predefined SauceDemo user and verifies the
    expected outcome - a successful redirect to the Products page for
    normal users, or a lockout error for locked_out_user.","653","test_login_with_various_predefined_users[chromium-visual_user]","tests","2026-08-04","passed","2026-08-04","","test_login","",""
"TC-2: Attempts login using each invalid credential combination from
    test_data.json (wrong password, missing username, missing password)
    and verifies the corresponding error message is shown.","947","test_login_with_invalid_credentials[firefox-0]","tests","2026-08-04","passed","2026-08-04","","test_login","",""
"TC-2: Attempts login using each invalid credential combination from
    test_data.json (wrong password, missing username, missing password)
    and verifies the corresponding error message is shown.","6117","test_login_with_invalid_credentials[chromium-2]","tests","2026-08-04","passed","2026-08-04","","test_login","",""
"TC-4: Verifies the cart icon is visible on the product listing page
    immediately after login.","33","test_cart_icon_visibility[chromium]","tests","2026-08-04","passed","2026-08-04","","test_logout_and_cart_visibility","",""
"TC-9: Selects each sort option in turn and asserts the resulting
    product order - by name or by price, ascending or descending as
    expected for that option.","81","test_sorting_functionality[chromium-Price (low to high)-price_asc]","tests","2026-08-04","passed","2026-08-04","","test_sorting","",""
"TC-9: Selects each sort option in turn and asserts the resulting
    product order - by name or by price, ascending or descending as
    expected for that option.","241","test_sorting_functionality[firefox-Price (high to low)-price_desc]","tests","2026-08-04","passed","2026-08-04","","test_sorting","",""
"TC-10: Adds products to the cart, triggers Reset App State from the
    side menu, and verifies the cart badge disappears (count returns to 0).","1340","test_reset_app_state_clears_cart[chromium]","tests","2026-08-04","passed","2026-08-04","","test_reset_app_state","",""
"TC-1: Logs in with each predefined SauceDemo user and verifies the
    expected outcome - a successful redirect to the Products page for
    normal users, or a lockout error for locked_out_user.","747","test_login_with_various_predefined_users[firefox-error_user]","tests","2026-08-04","passed","2026-08-04","","test_login","",""
"TC-9: Selects each sort option in turn and asserts the resulting
    product order - by name or by price, ascending or descending as
    expected for that option.","47","test_sorting_functionality[chromium-Price (high to low)-price_desc]","tests","2026-08-04","passed","2026-08-04","","test_sorting","",""
"TC-1: Logs in with each predefined SauceDemo user and verifies the
    expected outcome - a successful redirect to the Products page for
    normal users, or a lockout error for locked_out_user.","819","test_login_with_various_predefined_users[firefox-standard_user]","tests","2026-08-04","passed","2026-08-04","","test_login","",""
"TC-8: Adds known products to the cart, proceeds through checkout,
    captures a screenshot of the order summary (attached to the Allure
    report), finalizes the order, and verifies the confirmation message.","842","test_complete_checkout_and_validate_order[chromium]","tests","2026-08-04","passed","2026-08-04","","test_checkout","",""
"TC-10: Adds products to the cart, triggers Reset App State from the
    side menu, and verifies the cart badge disappears (count returns to 0).","1476","test_reset_app_state_clears_cart[firefox]","tests","2026-08-04","passed","2026-08-04","","test_reset_app_state","",""
"TC-2: Attempts login using each invalid credential combination from
    test_data.json (wrong password, missing username, missing password)
    and verifies the corresponding error message is shown.","734","test_login_with_invalid_credentials[chromium-1]","tests","2026-08-04","passed","2026-08-04","","test_login","",""
"TC-2: Attempts login using each invalid credential combination from
    test_data.json (wrong password, missing username, missing password)
    and verifies the corresponding error message is shown.","512","test_login_with_invalid_credentials[chromium-0]","tests","2026-08-04","passed","2026-08-04","","test_login","",""
"TC-9: Selects each sort option in turn and asserts the resulting
    product order - by name or by price, ascending or descending as
    expected for that option.","55","test_sorting_functionality[firefox-Name (A to Z)-name_asc]","tests","2026-08-04","passed","2026-08-04","","test_sorting","",""
"TC-8: Adds known products to the cart, proceeds through checkout,
    captures a screenshot of the order summary (attached to the Allure
    report), finalizes the order, and verifies the confirmation message.","1016","test_complete_checkout_and_validate_order[firefox]","tests","2026-08-04","passed","2026-08-04","","test_checkout","",""
